tconst,titleType,primaryTitle,year,runtimeMinutes,averageRating,numVotes,d1,dn1,d2,dn2,w1,wn1,w2,wn2,w3,wn3
tt0080787,movie,The Ghost Dance,1982,96,4.6,153,nm0119337,Peter F. Buffa,NA,NA,nm0119337,Peter F. Buffa,nm4015412,Robert M. Sutton,NA,NA
tt0081203,movie,Murder by Phone,1982,95,5.6,588,nm0027183,Michael Anderson,NA,NA,nm0125060,Michael Butler,nm0795461,Dennis Shryack,nm0006867,John Kent Harrison
tt0081432,movie,Los ritos sexuales del diablo,1982,84,4.7,653,nm0488574,José Ramón Larraz,NA,NA,nm0488574,José Ramón Larraz,NA,NA,NA,NA
tt0082116,movie,Burned at the Stake,1982,88,4.8,235,nm0330026,Bert I. Gordon,NA,NA,nm0330026,Bert I. Gordon,NA,NA,NA,NA
tt0082141,movie,La casa de las siete tumbas,1982,90,5.5,51,nm0830844,Pedro Stocki,NA,NA,nm0689900,Atilio Polverini,nm4914472,Fernando Real,NA,NA
tt0082278,movie,Don't Look in the Attic,1982,90,3.5,111,nm0042236,Carlo Ausino,NA,NA,nm0042236,Carlo Ausino,NA,NA,NA,NA
tt0082279,movie,The Dorm That Dripped Blood,1982,88,5,1584,nm0643539,Jeffrey Obrow,nm0139461,Stephen Carpenter,nm0139461,Stephen Carpenter,nm0643539,Jeffrey Obrow,nm0315994,Stacey Giachino
tt0082334,movie,The Entity,1982,125,6.6,13505,nm0002089,Sidney J. Furie,NA,NA,nm0208342,Frank De Felitta,NA,NA,NA,NA
tt0082338,movie,Turkey Shoot,1982,93,5.9,2763,nm0872062,Brian Trenchard-Smith,NA,NA,nm0313483,Jon George,nm0382925,Neill D. Hicks,nm0770886,George Schenck
tt0082361,movie,The Fan,1982,92,6.6,986,nm0772905,Eckhart Schmidt,NA,NA,nm0772905,Eckhart Schmidt,NA,NA,NA,NA
tt0082537,movie,Humongous,1982,94,4.8,1539,nm0528420,Paul Lynch,NA,NA,nm0337008,William Gray,NA,NA,NA,NA
tt0082669,movie,The Loch Ness Horror,1982,89,2.9,319,nm0118041,Larry Buchanan,NA,NA,nm0118041,Larry Buchanan,nm0795544,Lynn Shubert,NA,NA
tt0082744,movie,Midnight,1982,94,4.8,761,nm0751652,John A. Russo,NA,NA,nm0751652,John A. Russo,NA,NA,NA,NA
tt0082748,movie,Pieces,1982,85,6.2,7456,nm0685034,Juan Piquer Simón,NA,NA,nm0646782,Dick Randall,nm0523488,Roberto Loyola,nm0685034,Juan Piquer Simón
tt0082762,movie,Mo deng tian shi,1982,88,5.3,103,nm0000247,John Woo,NA,NA,nm0795511,Kei Shu,nm1022277,Cheuk-Hon Szeto,nm0000247,John Woo
tt0083031,movie,Satan's Mistress,1982,98,3.3,354,nm0688819,James Polakof,NA,NA,nm0688819,James Polakof,nm0424586,Beverly Johnson,NA,NA
tt0083264,movie,Ferat Vampire,1982,90,5.8,381,nm0381228,Juraj Herz,NA,NA,nm0281489,Jan Fleischer,nm0381228,Juraj Herz,nm0626592,Josef Nesvadba
tt0083275,movie,Variola Vera,1982,110,8.1,1808,nm0548648,Goran Markovic,NA,NA,nm0548648,Goran Markovic,nm0631892,Milan Nikolic,NA,NA
tt0083296,movie,Visiting Hours,1982,105,5.7,3348,nm0520440,Jean-Claude Lord,NA,NA,nm0846532,Brian Taggert,NA,NA,NA,NA
tt0083310,movie,Wacko,1982,90,4.8,717,nm0163990,Greydon Clark,NA,NA,nm0647615,Dana Olsen,nm0819513,Michael Spound,nm0467942,Jim Kouf
tt0083542,movie,Alone in the Dark,1982,92,6.1,4047,nm0794791,Jack Sholder,NA,NA,nm0794791,Jack Sholder,nm0790144,Robert Shaye,nm0366039,Michael Harrpster
tt0083550,movie,Amityville II: The Possession,1982,104,5.5,9327,nm0198765,Damiano Damiani,NA,NA,nm0908890,Tommy Lee Wallace,nm0392792,Hans Holzer,nm0332417,Dardano Sacchetti
tt0083585,movie,The Scorpion with Two Tails,1982,94,4.3,350,nm0553941,Sergio Martino,NA,NA,nm0002759,Ernesto Gastaldi,nm0500708,Jacques Leitienne,nm0555740,Mara Maryl
tt0083624,movie,Basket Case,1982,91,6.1,14711,nm0376963,Frank Henenlotter,NA,NA,nm0376963,Frank Henenlotter,NA,NA,NA,NA
tt0083629,movie,The Beast Within,1982,98,5.6,3078,nm0602333,Philippe Mora,NA,NA,nm0276169,Tom Holland,nm0506398,Edward Levy,NA,NA
