tconst,titleType,primaryTitle,year,runtimeMinutes,averageRating,numVotes,d1,dn1,d2,dn2,w1,wn1,w2,wn2,w3,wn3
tt1262406,movie,Fading of the Cries,2008,94,3.1,1524,nm3732772,Steven Maguire,NA,NA,nm3732772,Steven Maguire,nm1305849,Brian A. Metcalf,NA,NA
tt1262955,movie,The Season,2008,75,5.7,64,nm1843147,Adam Edward Brooks,NA,NA,nm1843147,Adam Edward Brooks,NA,NA,NA,NA
tt1263687,movie,Johnny Sunshine Maximum Violence,2008,78,2.5,231,nm1013989,Matt Yeager,NA,NA,nm2163364,Sean-Michael Argo,NA,NA,NA,NA
tt1263807,movie,The Wretched,2008,92,5.5,24,nm3077718,Daniel B. Iske,NA,NA,nm3077942,Scott Coleman,NA,NA,NA,NA
tt1265687,movie,The Owner,2008,80,6,30,nm1145183,Valentín Javier Diment,nm0956249,Luis Ziembrowski,nm2515060,Martín Blousson,nm1145183,Valentín Javier Diment,nm2516777,Santiago Hadida
tt1267319,movie,Home Movie,2008,77,5.6,4009,nm1706832,Christopher Denham,NA,NA,nm1706832,Christopher Denham,NA,NA,NA,NA
tt1267500,movie,Phoonk,2008,110,3.8,1187,nm0890060,Ram Gopal Varma,NA,NA,nm3085237,Milind Gadagkar,nm1430447,Sandeep Nath,nm2864993,Prashant Pandey
tt1268208,movie,Gnaw,2008,90,3.3,1022,nm3087706,Gregory Mandry,NA,NA,nm6121550,NA,nm3163315,Max Waller,nm1780257,Rob Weston
tt1269374,movie,A Bad Day at the Cemetery,2008,150,6.1,9,nm0001238,Jesús Franco,NA,NA,nm0001238,Jesús Franco,nm0605103,Fata Morgana,NA,NA
tt1269387,movie,Maniac on the Loose,2008,94,4.9,53,nm2806955,Steve Hudgins,NA,NA,nm2806955,Steve Hudgins,NA,NA,NA,NA
tt1269391,movie,Tiren: Mati kemaren,2008,90,3.2,21,nm2694058,Emil G. Hampp,NA,NA,nm3015819,Yoen K.,nm3088984,Nestor Katanya,nm3089337,Valilo
tt1269701,movie,The Man in the Garage,2008,90,5.3,9,nm1867528,Robert Luke,NA,NA,nm1867528,Robert Luke,NA,NA,NA,NA
tt1273200,movie,Blackspot,2008,84,5.9,33,nm0370009,Ben Hawker,NA,NA,nm0370009,Ben Hawker,nm0370015,Luke Hawker,nm3094695,Simon Price
tt1274419,movie,Bubba's Chili Parlor,2008,84,4.7,65,nm1918736,Joey Evans,NA,NA,nm1918736,Joey Evans,NA,NA,NA,NA
tt1275848,movie,Twilight Syndrome: Dead Cruise,2008,78,3.8,38,nm1967210,Takeshi Furusawa,NA,NA,nm1967210,Takeshi Furusawa,nm3840331,Kaworu Asakusa,NA,NA
tt1275956,movie,Reel Zombies,2008,89,3.5,281,nm0290129,David J. Francis,nm1238326,Mike Masters,nm1238326,Mike Masters,NA,NA,NA,NA
tt1276987,movie,Spirits of the Fall,2008,90,5.7,63,nm2488741,Rusty Apper,NA,NA,nm2488741,Rusty Apper,nm2562332,Paul Kelleher,NA,NA
tt1277733,tvMovie,Summer House,2008,90,4.8,289,nm0520440,Jean-Claude Lord,NA,NA,nm0552553,John Benjamin Martin,nm2422571,Donald David Martin,NA,NA
tt1278026,movie,Colonel Kill Motherfuckers,2008,70,5.6,25,nm2970193,Kevin Strange,NA,NA,nm3105305,Joshitsuo Montoya,nm2970193,Kevin Strange,NA,NA
tt1278090,tvMovie,Lifeless,2008,\N,7.8,24,nm2020269,David Sasich,nm1973118,Eli Sasich,nm2020269,David Sasich,NA,NA,NA,NA
tt1278102,movie,I'll Never Die Alone,2008,86,4.9,688,nm0305563,Adrián García Bogliano,NA,NA,nm0305563,Adrián García Bogliano,nm0305564,Ramiro García Bogliano,nm2428266,Martín Frías
tt1278117,movie,A Season for Brooding,2008,119,4.2,21,nm1649236,Andrew Ellis,nm1983690,Gavin Johnson,nm1982734,Charles Beal,nm1649236,Andrew Ellis,nm3103143,Paulina Ivy
tt1278322,movie,Colin,2008,97,4.9,1466,nm2683878,Marc Price,NA,NA,nm2683878,Marc Price,NA,NA,NA,NA
tt1278339,tvMovie,Dream Life,2008,50,8.4,39,nm2717813,Scott Otto Anderson,NA,NA,nm3106829,Sarah Daggar-Nickson,NA,NA,NA,NA
tt1278428,movie,Poe: Last Days of the Raven,2008,80,6.9,34,nm0275766,Brent Fidler,nm0326207,Eric Goldstein,nm0275766,Brent Fidler,NA,NA,NA,NA
tt1281397,movie,Twilight Syndrome: Dead Go Round,2008,71,5,62,nm1977463,Mari Asato,NA,NA,\N,NA,NA,NA,NA,NA
tt1282045,tvMovie,Flu Bird Horror,2008,89,3.1,695,nm0805635,Leigh Scott,NA,NA,nm0199744,Tony Daniel,nm0807535,Brian D. Smith,NA,NA
tt1283876,movie,Able,2008,72,5.2,34,nm2085331,Marc Robert,NA,NA,nm2085331,Marc Robert,nm3113308,Will Stotler,NA,NA
tt1284485,movie,Make-Out with Violence,2008,105,4.6,645,nm2159009,Deagol Brothers,NA,NA,nm2159009,Deagol Brothers,nm2150295,Cody DeVos,nm2159872,Eric Lehning
tt1286545,movie,Hantu aborsi,2008,90,2.6,14,nm3022389,Toto Hoedi,NA,NA,nm3022389,Toto Hoedi,NA,NA,NA,NA
tt1287363,movie,Xenobites,2008,114,6.1,39,nm3008388,Michael Fredianelli,NA,NA,nm3008388,Michael Fredianelli,NA,NA,NA,NA
tt1288399,movie,Squeal,2008,79,3.6,278,nm2804444,Tony Swansey,NA,NA,nm3124610,Dennis Doornbos,nm2804444,Tony Swansey,NA,NA
tt1288490,movie,Spring Heeled Jack,2008,88,5.7,21,nm2497044,William Honeyball,NA,NA,nm2493330,Ben Honeyball,nm2497044,William Honeyball,nm2500770,Adam Scrase
tt1308660,movie,The Open Door,2008,94,4.2,442,nm0241031,Doc Duhame,NA,NA,nm0241031,Doc Duhame,NA,NA,NA,NA
tt1311672,movie,Vlog,2008,71,3.7,191,nm0124991,Joshua Butler,NA,NA,nm0124991,Joshua Butler,NA,NA,NA,NA
tt1313251,movie,Nocturnos,2008,110,5.1,19,nm1360281,Ariel Medina,nm1360641,Maximiliano Ricciardi,nm1360281,Ariel Medina,nm1360641,Maximiliano Ricciardi,nm1182725,Leandro Vitullo
tt1313257,movie,Seeking Wellness: Suffering Through Four Movements,2008,91,7.1,30,nm2807761,Dan Schneidkraut,NA,NA,nm2807761,Dan Schneidkraut,NA,NA,NA,NA
tt1313876,movie,Intruder,2008,85,3.7,167,nm2861188,Gregory Caiafa,NA,NA,nm2861188,Gregory Caiafa,NA,NA,NA,NA
tt1314246,movie,Takut: Faces of Fear,2008,90,5.9,229,nm3176748,Robby Ertanto,nm3176993,Ray Nayoan,nm3176993,Ray Nayoan,nm1266812,Rako Prijanto,nm0729764,Riri Riza
tt1314363,movie,Live Animals,2008,84,3.3,624,nm2021453,Jeremy Benson,NA,NA,nm2021453,Jeremy Benson,nm1983100,Mark Williams,NA,NA
tt1314366,movie,Raksha,2008,\N,6,57,nm2327713,Vamsi Krishna Akella,NA,NA,\N,NA,NA,NA,NA,NA
tt1316079,movie,Summer People,2008,67,4.8,5,nm0995843,Scott Feinblatt,NA,NA,nm0995843,Scott Feinblatt,NA,NA,NA,NA
tt1318054,tvMovie,Chiller Theatre,2008,90,7.1,10,\N,NA,NA,NA,\N,NA,NA,NA,NA,NA
tt1318056,movie,Colour from the Dark,2008,92,4.7,690,nm1438206,Ivan Zuccon,NA,NA,nm2284539,Ivo Gazzarrini,nm0522454,H.P. Lovecraft,NA,NA
tt1318819,movie,Among Dead Men,2008,94,4,119,nm0724156,James Richards,NA,NA,nm2605618,Avelino 'El Rico' Lescot,nm0724156,James Richards,nm0922296,Peter West
tt1320090,movie,Beaten to a Pulp,2008,90,5.5,20,nm1586024,Craig J. McIntyre,NA,NA,nm1586024,Craig J. McIntyre,NA,NA,NA,NA
tt1322994,movie,Spree,2008,\N,6,27,nm3193966,Mark Jones,NA,NA,nm3193966,Mark Jones,NA,NA,NA,NA
tt1324081,movie,Monsterland,2008,73,7,12,nm1918736,Joey Evans,NA,NA,nm1918736,Joey Evans,NA,NA,NA,NA
tt1326169,movie,Scaregivers,2008,108,6.7,34,nm0209213,Uro Q. dela Cruz,NA,NA,nm2335233,Jourdan Sebastian,NA,NA,NA,NA
tt1326228,movie,I Killed You 'Cause I Had To,2008,97,4.5,8,nm0038071,Steven Arvanites,NA,NA,nm0038071,Steven Arvanites,NA,NA,NA,NA
tt1326755,movie,Cromwell,2008,70,5.6,16,nm3203341,Jonathan Anderson,NA,NA,nm3203341,Jonathan Anderson,NA,NA,NA,NA
tt1326938,movie,Disgruntled,2008,61,4.9,38,nm3202710,John Conatser,NA,NA,nm1330656,Jake Jarvi,nm3202710,John Conatser,NA,NA
tt1328625,movie,The Slit-Mouthed Woman 0: The Beginning,2008,88,4.5,40,nm3208532,Kazuto Kodama,NA,NA,nm3208532,Kazuto Kodama,NA,NA,NA,NA
tt1329231,movie,S.S.D.,2008,110,4.5,536,nm1475358,Vadim Shmelyov,NA,NA,nm2288380,Denis Karyshev,nm1475358,Vadim Shmelyov,NA,NA
tt1329273,movie,Good Will Evil,2008,103,5.3,67,nm2438834,Yuk-Fan Lam,nm3208627,Ming-chan Wang,nm0838954,Jerry Sun,NA,NA,NA,NA
tt1329338,movie,Dla ciebie i ognia,2008,127,6.6,200,nm3210169,Mateusz Jemiol,nm3208779,Tomasz Zasada,nm3210169,Mateusz Jemiol,nm3208779,Tomasz Zasada,NA,NA
tt1329372,movie,Intersection Number Nine,2008,77,6.1,12,nm1076340,Ciaron Davies,NA,NA,nm1076340,Ciaron Davies,NA,NA,NA,NA
tt1329396,movie,Mud Zombies,2008,105,5.6,343,nm3208867,Rodrigo Aragão,NA,NA,nm3208867,Rodrigo Aragão,NA,NA,NA,NA
tt1329424,movie,Presence,2008,80,5.4,18,nm1038642,Bryan Kramer,NA,NA,nm1038642,Bryan Kramer,NA,NA,NA,NA
tt1329433,movie,Secret Insanity,2008,84,5.7,6,nm3207867,Christian Gavin,NA,NA,nm3207867,Christian Gavin,NA,NA,NA,NA
tt1330603,movie,Actual Images: The Valley Murder Tapes,2008,85,5.6,8,nm1522278,Blaze Lovejoy,NA,NA,nm1522278,Blaze Lovejoy,NA,NA,NA,NA
tt1331074,movie,The Trek,2008,78,5.9,68,nm1602265,Lola Wallace,NA,NA,nm1672861,Tom Devlin,nm1602265,Lola Wallace,NA,NA
tt1332028,movie,Monster from Bikini Beach,2008,95,5.1,83,nm2153158,Darin Wood,NA,NA,nm2153158,Darin Wood,NA,NA,NA,NA
tt1332644,movie,Affliction,2008,95,7,90,nm1841063,Richard Somes,NA,NA,nm1841063,Richard Somes,nm0309453,Dwight Gaston,NA,NA
tt1332692,movie,Uniform SurviGirl I,2008,78,3.5,21,nm2201336,Hiroshi Kaneko,NA,NA,nm3218126,Takeki Akimoto,nm2201336,Hiroshi Kaneko,NA,NA
tt1332693,movie,Uniform SurviGirl II,2008,70,2.9,13,nm2201336,Hiroshi Kaneko,NA,NA,nm2201336,Hiroshi Kaneko,nm3218175,Sôichirô Koga,NA,NA
tt1334438,movie,Bumba atomika,2008,96,6.4,34,nm0784220,Michele Senesi,NA,NA,nm0784220,Michele Senesi,NA,NA,NA,NA
tt1337034,movie,Loner,2008,117,5.3,352,nm3227868,Jae-shik Park,NA,NA,nm3227868,Jae-shik Park,NA,NA,NA,NA
tt1337090,movie,Aegri Somnia,2008,95,5.1,77,nm2068332,James Rewucki,NA,NA,nm2068332,James Rewucki,NA,NA,NA,NA
tt1337576,movie,Zombies of Eureka,2008,45,4.7,19,nm1554962,Jon Olsen,NA,NA,nm1554962,Jon Olsen,NA,NA,NA,NA
tt1337589,movie,Bloodlock,2008,90,2.6,112,nm1934225,William Victor Schotten,NA,NA,nm3236516,Tom McLaughlin,NA,NA,NA,NA
tt1337627,movie,Haunted Hay Ride: The Movie,2008,94,6,42,nm0228292,Warren F. Disbrow,NA,NA,nm0228292,Warren F. Disbrow,NA,NA,NA,NA
tt1337715,movie,The Tower,2008,90,5.5,93,nm2970938,Dan McGowan,nm2975384,Dan Falzone,nm2975384,Dan Falzone,nm2970938,Dan McGowan,nm2721567,Lon Strickland
tt1338676,movie,Sullen,2008,77,6.3,7,nm3236173,Adam Thomas Huddleston,NA,NA,nm3236173,Adam Thomas Huddleston,nm3233296,Ryan B. Huddleston,nm3233932,Evan Naccarato
tt1339040,movie,7,2008,97,5.4,25,nm2922405,Ingo Storm,NA,NA,\N,NA,NA,NA,NA,NA
tt1339048,movie,Anthology,2008,132,5.1,13,nm3246553,John Shaner,nm3245420,David Sainte,nm3243872,Anthony Butera III,nm3246553,John Shaner,nm2408292,Nicholas Spaventa
tt1339050,movie,Aswang: A Journey Into Myth,2008,81,6.8,25,nm2092819,Jordan Clark,NA,NA,nm2092819,Jordan Clark,nm3236046,Janice Santos Valdez,NA,NA
tt1339085,movie,Face Eater,2008,98,5.8,55,nm3234120,Jarrod Perrott,NA,NA,nm3245841,Jon McClure,NA,NA,NA,NA
tt1339091,movie,Fugue State,2008,90,3.8,19,nm3235937,Tim McClelland,NA,NA,nm3235937,Tim McClelland,NA,NA,NA,NA
tt1339120,movie,Maidenhead,2008,83,5.7,13,nm3234011,James Spanos,NA,NA,nm3234011,James Spanos,NA,NA,NA,NA
tt1339143,movie,Paradise Cove,2008,73,4.2,13,nm3235292,Adam Vetock,nm3232125,Stanley Vetock,nm3235292,Adam Vetock,nm3232125,Stanley Vetock,NA,NA
tt1339166,movie,Sessions of the Mind,2008,47,6.2,24,nm1644494,Uisdean Murray,NA,NA,nm1644494,Uisdean Murray,NA,NA,NA,NA
tt1339178,movie,Sunshine Away,2008,108,7,5,nm3193590,Joshua F. Leonard,nm3175005,Lance Reenstierna,nm3175005,Lance Reenstierna,NA,NA,NA,NA
tt1340441,movie,The Killing Death,2008,65,5.9,8,nm3232756,Ian Russell,NA,NA,nm3232756,Ian Russell,NA,NA,NA,NA
tt1340561,movie,The Chauffeur,2008,68,4.2,11,nm3209984,Bennie Woodell,NA,NA,nm3209984,Bennie Woodell,NA,NA,NA,NA
tt1340684,movie,Snuffin' Zombies,2008,76,5.5,20,nm3236197,Karl Benacci,NA,NA,nm3236197,Karl Benacci,NA,NA,NA,NA
tt1340693,movie,Working Stiffs,2008,83,6.7,12,nm3236506,Jim Finitsis,NA,NA,nm3236506,Jim Finitsis,NA,NA,NA,NA
tt1340696,movie,A Zebra for Sally,2008,50,4.2,13,nm2547779,Blaise Kolodychuk,NA,NA,nm2547868,Elaine Boyling,nm2547779,Blaise Kolodychuk,NA,NA
tt1341166,movie,FilmeFobia,2008,80,5.1,115,nm1463602,Kiko Goifman,NA,NA,nm1463602,Kiko Goifman,nm0479886,Hilton Lacerda,NA,NA
tt1342121,movie,Prehod,2008,86,5.8,58,nm0657477,Boris Palcic,NA,NA,nm3246275,Vladimir Nardin,nm0657477,Boris Palcic,nm0805237,Franci Slak
tt1346295,movie,Operation: Sunrise,2008,102,5.5,43,nm1687248,Donovan Cerminara,NA,NA,nm1687248,Donovan Cerminara,nm1268204,Florian Dedio,NA,NA
tt1347084,movie,Real Fear,2008,68,5,12,nm3258111,Eddie Reyes,NA,NA,nm3258111,Eddie Reyes,NA,NA,NA,NA
tt1347110,movie,Year of the Donkey,2008,68,3.3,10,nm2811008,Kevin Rhoades,NA,NA,nm2811008,Kevin Rhoades,NA,NA,NA,NA
tt1347175,movie,Night for Day,2008,102,6.1,17,nm2075456,Russ Camarda,NA,NA,nm2075456,Russ Camarda,nm3240894,Linda Hanson,NA,NA
tt1352776,movie,Reel-Illusionary Zone,2008,94,3.6,7,nm2158220,John Hartman,NA,NA,nm2158220,John Hartman,NA,NA,NA,NA
tt1354568,movie,Todos mis muertos,2008,\N,4.3,6,nm1893249,Mad Crampi,NA,NA,nm1893249,Mad Crampi,NA,NA,NA,NA
tt1355575,movie,Interplanetary,2008,85,4.6,224,nm1699744,Chance Shirley,NA,NA,nm1699744,Chance Shirley,NA,NA,NA,NA
tt1355601,movie,Street of the Dead,2008,50,5.1,19,nm2724192,Joe Pontillo,nm3276229,Adam Gennari,nm2724192,Joe Pontillo,NA,NA,NA,NA
tt1355635,movie,Mind Morgue,2008,92,7.2,12,nm2439565,Mark Daniel,nm7126848,NA,nm2439565,Mark Daniel,nm7126848,NA,nm1836494,Michael O'Connor
tt1356876,tvMovie,Starz presents Zombie Mania,2008,57,6.8,234,nm1013354,Donna Davies,NA,NA,\N,NA,NA,NA,NA,NA
tt1357389,movie,Echo,2008,99,4.8,18,nm3265510,Mark Cantu,NA,NA,nm3265510,Mark Cantu,nm3289780,Michael D. Burger,nm3266237,Michael Cantu
tt1358926,movie,Blood Rivals: Santos el Vampiro,2008,92,6.5,11,nm3269266,Carlos Pina,NA,NA,\N,NA,NA,NA,NA,NA
tt1361838,movie,Descendents,2008,74,2.6,425,nm0646391,Jorge Olguín,NA,NA,nm1125952,Carolina García,nm0646391,Jorge Olguín,NA,NA
tt1366917,movie,The Moretti House,2008,82,2.7,25,nm3307305,Todd Douglas Bailey,NA,NA,nm3307305,Todd Douglas Bailey,NA,NA,NA,NA
tt1369580,movie,Sinner,2008,120,3.5,14,nm2940420,Shannon Casto,nm2940435,Michelle Henderson,nm2940420,Shannon Casto,nm2940435,Michelle Henderson,NA,NA
tt1369602,movie,Vagrant,2008,85,5.4,14,nm0900752,Lou Vockell,NA,NA,nm2105880,Charlie Vargas,NA,NA,NA,NA
tt1369688,movie,Pocong vs Kuntilanak,2008,90,2.8,17,nm1106143,David Purnomo,NA,NA,nm1106143,David Purnomo,NA,NA,NA,NA
tt1370868,movie,Junkbucket,2008,\N,5.1,45,nm3295770,Stephen Lange,NA,NA,nm3295770,Stephen Lange,NA,NA,NA,NA
tt1391482,movie,Roadkill,2008,70,4.8,8,nm2140234,Jeff Chitty,NA,NA,nm2140234,Jeff Chitty,nm2403592,Ken Robinson,NA,NA
tt1391657,movie,Angel of Death,2008,84,4.8,20,nm3356114,Cameron Nigh,NA,NA,nm3356114,Cameron Nigh,NA,NA,NA,NA
tt1392208,movie,Ngok nam shi kin,2008,93,5,33,nm3360302,Kwong-yiu Lee,NA,NA,nm3359762,Chun-yu Ham,nm2597943,Koon-Nam Lui,nm3018849,Frankie Tam
tt1395057,movie,Photo Manipulation,2008,88,5.5,11,nm2512735,Todd Langseth,NA,NA,nm2512735,Todd Langseth,nm3172055,Marie-Helene Tremblay,NA,NA
tt1396984,movie,Mummies...,2008,54,5.7,6,nm3508888,NA,NA,NA,nm3517655,NA,nm3515785,NA,nm3510148,NA
tt1402362,movie,Tortura,2008,77,4.4,53,nm3384310,Michael Effenberger,nm3231736,Marcel Walz,nm3231736,Marcel Walz,NA,NA,NA,NA
tt1412448,movie,Hallows Eve: Slaughter on Second Street,2008,98,5.1,31,nm3402067,P.J. Starks,NA,NA,nm3401776,Rodney Newton,nm3402067,P.J. Starks,NA,NA
tt1414859,movie,Stockholm Syndrome,2008,77,3.9,56,nm1680236,Ryan Cavalline,NA,NA,nm1680236,Ryan Cavalline,nm2970971,Jason Senior,NA,NA
tt1424066,movie,Art of the Devil 3,2008,80,5.5,441,nm0995978,Kongkiat Khomsiri,nm2188382,Pasith Buranajan,nm0995978,Kongkiat Khomsiri,nm2175529,Yosapong Polsap,NA,NA
tt1434424,movie,Grave Mistakes,2008,90,5.2,34,nm1958351,Chris LaMartina,NA,NA,nm3143977,Jimmy George,nm1958351,Chris LaMartina,NA,NA
tt1438522,movie,Death Bell,2008,88,5.7,2085,nm3460905,Hong-Seung Yoon,NA,NA,nm3460905,Hong-Seung Yoon,nm3345633,Eun-Kyeong Kim,NA,NA
tt1440747,movie,Killer Tumbleweeds,2008,87,5.1,23,nm0564580,Ben McCain,NA,NA,nm0564580,Ben McCain,nm0003996,Butch McCain,NA,NA
tt1470710,tvMovie,Torihada 3: Yofukashi no anata ni zokutto suru hanashi wo,2008,46,6.7,6,nm3526488,NA,NA,NA,nm3537851,NA,nm3526557,NA,nm3537587,NA
tt1505331,movie,Brimstone,2008,84,6.9,35,nm3575376,NA,NA,NA,nm3575376,NA,NA,NA,NA,NA
tt1562364,movie,Malice in Wonderland,2008,50,6.4,10,nm2931470,Paul Gustavo,NA,NA,nm2931470,Paul Gustavo,NA,NA,NA,NA
tt1566010,movie,Zombie Love,2008,106,4.9,10,nm2455192,Ken Morris,NA,NA,nm2455192,Ken Morris,NA,NA,NA,NA
tt1599329,movie,Legend Has It,2008,92,3.8,17,nm1643193,Insane Mike Saunders,nm1646630,Jason Bolinger,nm1643193,Insane Mike Saunders,NA,NA,NA,NA
tt1606322,movie,Help,2008,94,5.5,48,nm1281809,Qi Zhang,nm3814942,Qi Zhang,nm3814942,Qi Zhang,NA,NA,NA,NA
tt1611807,movie,The Grotto - Interactive Movie,2008,46,6.8,20,nm3828404,Filipe Gontijo,NA,NA,nm3828404,Filipe Gontijo,NA,NA,NA,NA
tt1703058,movie,The Deserted Inn,2008,106,4.6,25,nm2038391,Jing Zhang,NA,NA,nm2674818,Jun Cai,nm7876140,NA,NA,NA
tt1729652,movie,Kagbeni,2008,130,7.3,426,nm4091608,Bhusan Dahal,NA,NA,nm4092134,Bhaskar Dhungana,nm4090441,Achyut Koirala,nm4092893,Prashant Rasaily
tt1774576,movie,Soul's Code,2008,104,5.1,42,nm4177196,Atsajun Sattakovit,NA,NA,\N,NA,NA,NA,NA,NA
tt1778353,tvMovie,The Minotaur,2008,129,7.6,5,nm0368662,Jonathan Haswell,NA,NA,nm1439536,David Harsent,NA,NA,NA,NA
tt1785267,movie,16:50 Bologna,2008,52,3.5,20,nm4118522,Daniele Nicolini,NA,NA,nm4118522,Daniele Nicolini,NA,NA,NA,NA
tt1785299,movie,Battle of the Bone,2008,90,3.3,76,nm3949900,George Clarke,NA,NA,nm3949900,George Clarke,NA,NA,NA,NA
tt1785411,movie,I Spit Chew on Your Grave,2008,58,4.5,142,\N,NA,NA,NA,\N,NA,NA,NA,NA,NA
tt1786770,movie,Zombiestad Gotland,2008,60,5.6,9,nm4203629,Alexander Kirmeier,NA,NA,nm4203629,Alexander Kirmeier,NA,NA,NA,NA
tt1808064,movie,Die Cheerleader Die,2008,86,3.5,41,nm4247144,Jerry Peterson,NA,NA,nm4247144,Jerry Peterson,NA,NA,NA,NA
tt1810793,movie,The House of Orphans,2008,98,1.9,167,nm1644478,Daniel Lehmussaari,NA,NA,nm1644478,Daniel Lehmussaari,NA,NA,NA,NA
tt1825665,movie,Bollywood Evil Dead,2008,99,2.7,58,nm2579028,Salim Raza,NA,NA,nm2579028,Salim Raza,NA,NA,NA,NA
tt1831784,movie,The Cutting Room,2008,85,5.7,11,nm1784201,Travis Ammons,NA,NA,nm1784201,Travis Ammons,NA,NA,NA,NA
tt1833009,movie,Kventinis Satvale,2008,93,3.4,11,nm4299927,Gio Gersamia,NA,NA,nm4299796,Gulanda Megrelishvili,NA,NA,NA,NA
tt1837710,movie,Zagadka starogo kladbishcha,2008,125,7.5,31,nm4310334,Stanislav Grachev,NA,NA,nm4310774,Aleksey Ateev,NA,NA,NA,NA
tt1870356,movie,"Coca, hasis & aliteia 2 - I sapia sarka",2008,110,5.8,5,nm4659031,George Kasinos,nm4635117,Vangelis Papaevangeliou,\N,NA,NA,NA,NA,NA
tt1979309,movie,ReGOREgitated Sacrifice,2008,65,3.6,611,nm2281585,Lucifer Valentine,NA,NA,nm2281585,Lucifer Valentine,NA,NA,NA,NA
tt2014264,movie,Keepsake,2008,101,4.6,260,nm1642909,Paul Moore,NA,NA,\N,NA,NA,NA,NA,NA
tt2072977,movie,Gap,2008,\N,2.3,74,nm4700242,Paul O'Callaghan,NA,NA,\N,NA,NA,NA,NA,NA
tt2109121,movie,Empaná de Pino,2008,\N,6.5,21,nm4769651,Wincy,NA,NA,\N,NA,NA,NA,NA,NA
tt2111297,movie,The Pot,2008,115,5.1,83,nm3649696,NA,NA,NA,nm3649696,NA,nm5312974,NA,NA,NA
tt2115308,movie,Dawna of the Dead,2008,71,5.1,76,nm0175836,Laume Conroy,NA,NA,nm0175836,Laume Conroy,NA,NA,NA,NA
tt2122322,movie,Dead Ahead,2008,\N,4.2,5,nm2359944,Billy Ray Brewton,NA,NA,nm2359944,Billy Ray Brewton,NA,NA,NA,NA
tt2150812,movie,Memory,2008,\N,5.6,21,nm2594509,Torpong Tunkamhang,NA,NA,nm2594509,Torpong Tunkamhang,NA,NA,NA,NA
tt2164060,movie,Quanna,2008,70,4,21,nm2427621,Mumtaz Yildirimlar,NA,NA,nm2427621,Mumtaz Yildirimlar,NA,NA,NA,NA
tt2201141,movie,Nina Crazy Suicide Girl: Le Prigioniere di Satana,2008,80,6.2,36,nm4869789,Christian Arioli,NA,NA,nm4869789,Christian Arioli,NA,NA,NA,NA
tt2205539,movie,La raíz del mal,2008,80,4.8,20,nm3652218,NA,NA,NA,nm3652218,NA,NA,NA,NA,NA
tt2476170,movie,Broken Notes,2008,97,5.8,20,nm5406395,Alex Slevin,NA,NA,nm1166804,Hiroyuki Owaku,nm5406395,Alex Slevin,NA,NA
tt2653762,movie,A Bad Day at the Cemetery II,2008,74,7.2,6,nm0001238,Jesús Franco,NA,NA,nm0001238,Jesús Franco,nm0605103,Fata Morgana,NA,NA
tt2781610,movie,Manyeoui kwan,2008,110,5.7,6,nm5577958,NA,NA,NA,nm0324690,Nikolay Gogol,nm5578128,NA,nm5577958,NA
tt3116902,movie,Anaconda Frightened,2008,93,6.2,11,nm3617869,NA,NA,NA,nm2784605,Xudong Ren,NA,NA,NA,NA
tt3118698,movie,Better Living Through Killing,2008,99,3.3,21,nm1949179,Brendan Deininger,NA,NA,nm1949179,Brendan Deininger,NA,NA,NA,NA
tt3118714,movie,A Vampire's Tale,2008,\N,4.4,14,nm5874828,NA,NA,NA,\N,NA,NA,NA,NA,NA
tt3831210,movie,The Marriage,2008,74,6.3,13,nm2433774,Filip Halo,NA,NA,nm2433774,Filip Halo,NA,NA,NA,NA
tt5254458,movie,The Belly of the Beast,2008,89,7.8,352,nm0863570,Corbin Timbrook,NA,NA,nm0280541,Jim Fitzpatrick,NA,NA,NA,NA
tt5512242,movie,Poymat vedmu,2008,66,5.9,40,nm3898042,NA,nm7735600,NA,nm3898042,NA,nm7735600,NA,NA,NA
tt5899256,movie,Ski Wolf,2008,71,4.8,17,nm0780852,Chris Seaver,NA,NA,\N,NA,NA,NA,NA,NA
tt8598776,movie,The Artifact,2008,59,1.1,8,nm4107137,Stephen Groo,NA,NA,\N,NA,NA,NA,NA,NA
tt0289146,movie,Darkness,2009,100,4.6,158,nm0381228,Juraj Herz,NA,NA,nm1099009,Martin Nemec,nm0381228,Juraj Herz,NA,NA
tt0353665,movie,El libro de piedra,2009,84,4,131,nm1698387,Julio Cesar Estrada,NA,NA,nm1698387,Julio Cesar Estrada,nm0595982,Gustavo Moheno,nm0719857,Enrique Renteria
tt0365929,movie,Whiteout,2009,101,5.5,35959,nm0784061,Dominic Sena,NA,NA,nm0388377,Jon Hoeber,nm0388375,Erich Hoeber,nm0370937,Chad Hayes
tt0425141,movie,It Came from Trafalgar,2009,100,6.3,42,nm1729168,Solomon Mortamur,NA,NA,nm1729168,Solomon Mortamur,NA,NA,NA,NA
tt0431670,movie,Cabeza de pescado,2009,82,7.1,11,nm1896135,July Massaccesi,NA,NA,nm1267670,Fernando Barrientos,nm1898938,Edgardo Sosa,NA,NA
tt0433362,movie,Daybreakers,2009,98,6.4,117715,nm1294961,Michael Spierig,nm1294962,Peter Spierig,nm1294961,Michael Spierig,nm1294962,Peter Spierig,NA,NA
tt0436154,movie,Cabras,2009,\N,5.8,5,nm1802296,Fredy Polania,NA,NA,nm1802296,Fredy Polania,NA,NA,NA,NA
